CaseID,Utterance,Split,Noise,NominalSNR_dB,Method,InputSNR_dB,OutputSNR_dB,SNRImprovement_dB,STOI,Runtime_s,NoiseVariation_dB,PeakAbsolute,ProxySpeechMissFraction,ProxyNonSpeechFalseAlarmFraction,UpdateOnSpeechProxyFraction,NoiseUpdateFraction
sp26_car_0dB,sp26,evaluation,car,0,vad,-0.288552042611711,5.07537131243436,5.36392335504607,0.722736501855229,0.01701,2.18136239753239,0.410106430099625,0.666666666666667,0,0.666666666666667,0.729957805907173
sp26_car_5dB,sp26,evaluation,car,5,unprocessed,4.68029278779439,4.68029278779439,0,0.803206166891558,NaN,3.01526028096324,0.462890625,NaN,NaN,NaN,NaN
sp26_car_5dB,sp26,evaluation,car,5,fixed,4.68029278779439,9.13009287547968,4.4498000876853,0.824710640913305,0.017925,3.01526028096324,0.467790651210701,0.148148148148148,0.4,0,0
sp26_car_5dB,sp26,evaluation,car,5,vad,4.68029278779439,8.77760229124945,4.09730950345507,0.80349020571905,0.017079,3.01526028096324,0.462649662821274,0.164021164021164,0.05,0.164021164021164,0.282700421940928
sp26_car_10dB,sp26,evaluation,car,10,unprocessed,9.74680262215517,9.74680262215517,0,0.920188145303138,NaN,2.35604484495388,0.463226318359375,NaN,NaN,NaN,NaN
sp26_car_10dB,sp26,evaluation,car,10,fixed,9.74680262215517,12.2629098926255,2.51610727047031,0.924493981199628,0.020584,2.35604484495388,0.473211399927217,0.111111111111111,0.05,0,0
sp26_car_10dB,sp26,evaluation,car,10,vad,9.74680262215517,12.3268560264341,2.58005340427897,0.916015512706794,0.020476,2.35604484495388,0.470865929815747,0.0687830687830688,0.05,0.0687830687830688,0.219409282700422
sp26_car_15dB,sp26,evaluation,car,15,unprocessed,14.6955564766651,14.6955564766651,0,0.964019922895866,NaN,2.20091767294421,0.457275390625,NaN,NaN,NaN,NaN
sp26_car_15dB,sp26,evaluation,car,15,fixed,14.6955564766651,16.7023763855282,2.00681990886307,0.967164362121627,0.020699,2.20091767294421,0.463862766893795,0.0211640211640212,0.15,0,0
sp26_car_15dB,sp26,evaluation,car,15,vad,14.6955564766651,16.2663659139993,1.57080943733414,0.959959700083907,0.020611,2.20091767294421,0.470672860575531,0.0264550264550265,0.1,0.0264550264550265,0.164556962025316
sp26_street_0dB,sp26,evaluation,street,0,unprocessed,0.175101824483985,0.175101824483985,0,0.794620490551803,NaN,13.1523464312579,0.534759521484375,NaN,NaN,NaN,NaN
